Tumor_Sample_Barcode,n_variants,n_predicted_artifacts,artifact_rate,mean_probability
TCGA-06-0210-02A-01D-2280-08,67,5,0.07462686567164178,0.1690374
TCGA-06-0214-01A-02D-1491-08,70,5,0.07142857142857142,0.1181262
TCGA-19-1788-01A-01W-0643-08,70,5,0.07142857142857142,0.17851286
TCGA-32-4210-01A-01D-1353-08,72,5,0.06944444444444445,0.10812736
TCGA-32-1982-01A-01D-1494-08,79,5,0.06329113924050633,0.17293617
TCGA-28-1757-01A-02W-0643-08,95,5,0.05263157894736842,0.18135141
TCGA-19-1390-01A-01W-0922-08,153,5,0.032679738562091505,0.10510098
TCGA-06-0132-01A-02D-1491-08,23,4,0.17391304347826086,0.5293174
TCGA-06-0130-01A-01D-1490-08,27,4,0.14814814814814814,0.33160713
TCGA-06-0650-01A-02D-1696-08,38,4,0.10526315789473684,0.40467918
TCGA-06-0171-01A-02D-1491-08,47,4,0.0851063829787234,0.12114637
TCGA-12-1092-01B-01W-0611-08,48,4,0.08333333333333333,0.1895351
TCGA-06-0749-01A-01D-1492-08,50,4,0.08,0.21963187
TCGA-14-0740-01B-01D-1845-08,50,4,0.08,0.13548714
TCGA-14-0812-01B-01W-0643-08,50,4,0.08,0.17507914
TCGA-27-2526-01A-01D-1494-08,50,4,0.08,0.10263794
TCGA-41-2571-01A-01D-1495-08,50,4,0.08,0.07909009
TCGA-06-5412-01A-01D-1696-08,51,4,0.0784313725490196,0.45052215
TCGA-4W-AA9T-01A-11D-A391-08,51,4,0.0784313725490196,0.26249596
TCGA-06-0184-01A-01D-1491-08,55,4,0.07272727272727272,0.1743448
TCGA-06-0154-01A-03D-1491-08,56,4,0.07142857142857142,0.098644085
TCGA-06-5856-01A-01D-1696-08,56,4,0.07142857142857142,0.15581402
TCGA-19-5950-01A-11D-1696-08,56,4,0.07142857142857142,0.1282154
TCGA-4W-AA9S-01A-11D-A391-08,57,4,0.07017543859649122,0.11898971
TCGA-19-1786-01A-01W-0643-08,58,4,0.06896551724137931,0.14285882
TCGA-14-1450-01B-01D-1845-08,60,4,0.06666666666666667,0.15125567
TCGA-06-0213-01A-01D-1491-08,63,4,0.06349206349206349,0.1162144
TCGA-32-2491-01A-01D-1353-08,63,4,0.06349206349206349,0.16697669
TCGA-06-0686-01A-01W-0348-08,65,4,0.06153846153846154,0.09255291
TCGA-41-3392-01A-01W-0922-08,65,4,0.06153846153846154,0.09294114
TCGA-06-0195-01B-01D-1491-08,69,4,0.057971014492753624,0.0707477
TCGA-19-2629-01A-01W-0922-08,69,4,0.057971014492753624,0.30467588
TCGA-16-0846-01A-01D-1492-08,75,4,0.05333333333333334,0.12426815
TCGA-19-2623-01A-01D-1495-08,78,4,0.05128205128205128,0.10676266
TCGA-41-2575-01A-01W-0922-08,78,4,0.05128205128205128,0.09060245
TCGA-32-1970-01A-01D-1494-08,79,4,0.05063291139240506,0.08954243
TCGA-02-2470-01A-01W-0837-08,81,4,0.04938271604938271,0.19723514
TCGA-06-2562-01A-01W-0837-08,85,4,0.047058823529411764,0.18011835
TCGA-19-0957-01C-01W-0643-08,86,4,0.046511627906976744,0.18804279
TCGA-06-6694-01A-12D-1845-08,99,4,0.04040404040404041,0.0928112
TCGA-06-0145-01A-01W-0224-08,107,4,0.037383177570093455,0.16287594
TCGA-14-0871-01A-01W-0424-08,108,4,0.037037037037037035,0.120831616
TCGA-19-1390-01A-01D-1495-08,119,4,0.03361344537815126,0.08158229
TCGA-06-5858-01A-01D-1696-08,196,4,0.02040816326530612,0.058373343
TCGA-28-2510-01A-01D-1696-08,27,3,0.1111111111111111,0.3601923
TCGA-19-A6J4-01A-11D-A33T-08,31,3,0.0967741935483871,0.24661453
TCGA-41-3915-01A-01D-1353-08,35,3,0.08571428571428572,0.1717624
TCGA-06-0140-01A-01D-1490-08,38,3,0.07894736842105263,0.24429238
TCGA-27-1832-01A-01W-0643-08,38,3,0.07894736842105263,0.22715892
TCGA-74-6573-01A-12D-1845-08,38,3,0.07894736842105263,0.16839421
TCGA-06-0166-01A-01D-1491-08,40,3,0.075,0.17790501
TCGA-06-6389-01A-11D-1696-08,41,3,0.07317073170731707,0.3066219
TCGA-26-1442-01A-01D-1696-08,41,3,0.07317073170731707,0.2273358
TCGA-32-1986-01A-01D-1494-08,41,3,0.07317073170731707,0.1812657
TCGA-14-0736-02A-01D-2280-08,42,3,0.07142857142857142,0.26346716
TCGA-06-0882-01A-01W-0424-08,44,3,0.06818181818181818,0.20463492
TCGA-14-1823-01A-01W-0643-08,44,3,0.06818181818181818,0.20566271
TCGA-06-2557-01A-01D-1494-08,49,3,0.061224489795918366,0.14390557
TCGA-06-2565-01A-01D-1494-08,49,3,0.061224489795918366,0.05710947
TCGA-12-0819-01A-01W-0424-08,49,3,0.061224489795918366,0.1589525
TCGA-27-2526-01A-01W-0837-08,49,3,0.061224489795918366,0.07210408
TCGA-19-4065-01A-01D-2280-08,52,3,0.057692307692307696,0.20099466
TCGA-28-2509-01A-01D-1494-08,52,3,0.057692307692307696,0.06559218
TCGA-06-0152-01A-02D-1492-08,54,3,0.05555555555555555,0.108561926
TCGA-14-0871-01A-01D-1492-08,54,3,0.05555555555555555,0.19983308
TCGA-06-2561-01A-02W-0837-08,55,3,0.05454545454545454,0.1436374
TCGA-27-1834-01A-01D-1494-08,55,3,0.05454545454545454,0.13061194
TCGA-32-4211-01A-01D-1353-08,55,3,0.05454545454545454,0.17977495
TCGA-06-0875-01A-01W-0424-08,56,3,0.05357142857142857,0.16113901
TCGA-28-2502-01B-01W-0837-08,56,3,0.05357142857142857,0.28179964
TCGA-02-2470-01A-01D-1494-08,57,3,0.05263157894736842,0.19459398
TCGA-06-0190-01A-01D-1491-08,57,3,0.05263157894736842,0.2023679
TCGA-41-2571-01A-01W-0922-08,57,3,0.05263157894736842,0.10514033
