run_name,feature_mode,split,auroc,auprc,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,n,n_positive
chrom_all_qc,all_qc,val,0.947522952,0.915194513,0.95,0.943874844,0.783130435,0.938125,0.853649289,90,4465,19,1,4826,96
chrom_all_qc,all_qc,test,0.947916906,0.944784787,0.95,0.943127356,0.797596154,0.932022472,0.859585492,166,6784,42,12,7004,178
chrom_non_circular_qc,non_circular_qc,val,0.941199194,0.569468303,0.95,0.888087029,0.225714286,0.938125,0.363878788,90,4196,288,1,4826,96
chrom_non_circular_qc,non_circular_qc,test,0.939365596,0.572082473,0.95,0.884249572,0.258009331,0.932022472,0.404141291,166,6349,477,12,7004,178
