Feature_set,Model,AUROC,AUPRC,accuracy,precision,recall,f1,TP,TN,FP,FN,threshold,features_used,features_excluded
Reduced_QC_without_AD_VAF_normalAlt_germline,Logistic_regression_reduced_QC,0.9552086531958273,0.5997248611549044,0.9073046394633874,0.2106200317965023,0.96,0.3454498044328552,265,15981,1633,11,0.75,DP;MQ;SB;tumor_strand_bias;tumor_orientation_bias;tumor_clipped_fraction;tumor_mismatch_fraction,AD;VAF;germline_support_flag;normal_alt_fraction
Reduced_QC_without_AD_VAF_normalAlt_germline,Random_forest_reduced_QC,0.9268069094001314,0.6684243495583857,0.9222543320290666,0.6294986072423397,0.8188043478260869,0.7117795275590549,226,16245,1369,50,0.75,DP;MQ;SB;tumor_strand_bias;tumor_orientation_bias;tumor_clipped_fraction;tumor_mismatch_fraction,AD;VAF;germline_support_flag;normal_alt_fraction
Reduced_QC_without_AD_VAF_normalAlt_germline,Gradient_boosting_reduced_QC,0.9071067532331824,0.6670854919415206,0.8989111235326998,0.7418478260869565,0.24728260869565216,0.37092391304347827,68,15833,1781,208,0.75,DP;MQ;SB;tumor_strand_bias;tumor_orientation_bias;tumor_clipped_fraction;tumor_mismatch_fraction,AD;VAF;germline_support_flag;normal_alt_fraction
