bin,bin_start,bin_end,n,mean_predicted_probability,observed_positive_fraction,absolute_gap,bin_weight
0,0.0,0.1,17573,6.635266345251249e-06,0.0,6.635266345251249e-06,0.9822806036892119
1,0.1,0.2,1,0.1494959,0.0,0.1494959,5.5897149245388485e-05
3,0.30000000000000004,0.4,3,0.35648265333333334,0.0,0.35648265333333334,0.00016769144773616545
4,0.4,0.5,1,0.40428242,0.0,0.40428242,5.5897149245388485e-05
6,0.6000000000000001,0.7000000000000001,3,0.6289201,0.0,0.6289201,0.00016769144773616545
9,0.9,1.0,309,0.9987383089644014,0.8932038834951457,0.10553442546925573,0.01727221911682504
