AUROC,AUPRC,accuracy,precision,recall,f1,TP,TN,FP,FN,Model,best_val_AUROC
0.9543044939754773,0.878482515963129,0.9527579653437673,0.8288679245283018,0.955,0.8874747474747473,264,16782,832,12,QC_only,0.9545702832683922
0.763602589672576,0.0811645217000895,0.9551704863051984,0.1210374639769452,0.3043478260869565,0.1731958762886598,84,17004,610,192,Sequence_only,0.774290700074833
0.9990743529109748,0.8359291002043603,0.9980994969256568,0.9087837837837838,0.9746376811594204,0.9405594405594404,269,17587,27,7,SeqQC_Former_retrained,0.9993758547725335
