noise_sigma,n,positives,negatives,threshold,checkpoint,mean_probability,AUROC,AUPRC,accuracy,precision,recall,f1,TP,TN,FP,FN
0.0,17890,276,17614,0.75,checkpoints/best-epoch=epoch=23-auroc=val_auroc=0.9997.ckpt,0.017453,0.99997,0.998202,0.998155,0.893204,1.0,0.94359,276,17581,33,0
0.01,17890,276,17614,0.75,checkpoints/best-epoch=epoch=23-auroc=val_auroc=0.9997.ckpt,0.017436,0.999969,0.998143,0.998155,0.893204,1.0,0.94359,276,17581,33,0
0.05,17890,276,17614,0.75,checkpoints/best-epoch=epoch=23-auroc=val_auroc=0.9997.ckpt,0.017417,0.999956,0.997245,0.998211,0.896104,1.0,0.945205,276,17582,32,0
0.1,17890,276,17614,0.75,checkpoints/best-epoch=epoch=23-auroc=val_auroc=0.9997.ckpt,0.017765,0.999904,0.994418,0.997652,0.875,0.98913,0.928571,273,17575,39,3
0.15,17890,276,17614,0.75,checkpoints/best-epoch=epoch=23-auroc=val_auroc=0.9997.ckpt,0.018511,0.999812,0.988593,0.997037,0.840979,0.996377,0.912106,275,17562,52,1
0.2,17890,276,17614,0.75,checkpoints/best-epoch=epoch=23-auroc=val_auroc=0.9997.ckpt,0.018465,0.999596,0.974608,0.99659,0.828746,0.981884,0.898839,271,17558,56,5
