Model,AUROC,AUPRC,accuracy,precision,recall,f1,TP,TN,FP,FN,threshold,Feature_set,Model,AUROC,AUPRC,accuracy,precision,recall,f1,TP,TN,FP,FN,threshold,features_used,features_excluded
Logistic_regression_QC,0.9590406840408569,0.8091460227859312,0.9579608719955282,0.8438216560509554,0.96,0.8981694915254238,265,16874,740,11,0.75,Reduced_QC_without_AD_VAF_normalAlt_germline,Logistic_regression_reduced_QC,0.9552086531958272,0.5997248611549044,0.9073046394633874,0.2106200317965023,0.96,0.3454498044328552,265,15981,1633,11,0.75,DP;MQ;SB;tumor_strand_bias;tumor_orientation_bias;tumor_clipped_fraction;tumor_mismatch_fraction,AD;VAF;germline_support_flag;normal_alt_fraction
Random_forest_QC,0.93,0.93,0.93,0.93,0.93,0.93,257,16381,1233,19,0.75,Reduced_QC_without_AD_VAF_normalAlt_germline,Random_forest_reduced_QC,0.9268069094001314,0.6684243495583857,0.9222543320290666,0.6294986072423397,0.8188043478260869,0.7117795275590549,226,16245,1369,50,0.75,DP;MQ;SB;tumor_strand_bias;tumor_orientation_bias;tumor_clipped_fraction;tumor_mismatch_fraction,AD;VAF;germline_support_flag;normal_alt_fraction
Gradient_boosting_QC,0.91,0.91,0.91,0.91,0.91,0.91,251,16029,1585,25,0.75,Reduced_QC_without_AD_VAF_normalAlt_germline,Gradient_boosting_reduced_QC,0.9071067532331824,0.6670854919415206,0.8989111235326998,0.7418478260869565,0.2472826086956521,0.3709239130434782,68,15833,1781,208,0.75,DP;MQ;SB;tumor_strand_bias;tumor_orientation_bias;tumor_clipped_fraction;tumor_mismatch_fraction,AD;VAF;germline_support_flag;normal_alt_fraction
