Tool,Setting,Threshold,Precision,Recall,TP,FP,TN,FN
SeqQC-Former,Recall@0.95,0.937635,0.827434,0.950011,39016,8137,40498,2053
SeqQC-Former,Precision@0.98,0.997506,0.979998,0.298254,12249,250,48385,28820
SeqQC-Former,Precision@0.90,0.985690,0.899932,0.800799,32888,3657,44978,8181
Mutect2,Recall@0.95,0.000000,0.457828,1.000000,41069,48635,0,0
Mutect2,Precision@0.98,0.000000,0.457828,1.000000,41069,48635,0,0
Mutect2,Precision@0.90,0.000000,0.457828,1.000000,41069,48635,0,0
Strelka2,Recall@0.95,0.000000,0.457828,1.000000,41069,48635,0,0
Strelka2,Precision@0.98,1.000000,0.949029,0.028562,1173,63,48572,39896
Strelka2,Precision@0.90,0.000000,0.457828,1.000000,41069,48635,0,0
